combo_index,trend_label,range_ratio,variance_ratio,variogram_type,residual_seed,residual_range_m,folder,actual_trend_to_total_var,f_regular,nugget
0,Asymmetric Ridge,0.1,0.4,Spherical,1300,100.0,GS_experiment_datasets/0000_Asymmetric_Ridge_rr0.1_vr0.4_fr0.25_Spherical,0.40006147187720853,0.25,0
1,Asymmetric Ridge,0.1,0.4,Spherical,1301,100.0,GS_experiment_datasets/0001_Asymmetric_Ridge_rr0.1_vr0.4_fr0.5_Spherical,0.4000009972686908,0.5,0
2,Asymmetric Ridge,0.1,0.4,Spherical,1302,100.0,GS_experiment_datasets/0002_Asymmetric_Ridge_rr0.1_vr0.4_fr1_Spherical,0.40050791163813787,1.0,0
3,Asymmetric Ridge,0.1,0.5,Spherical,1303,100.0,GS_experiment_datasets/0003_Asymmetric_Ridge_rr0.1_vr0.5_fr0.25_Spherical,0.5000347756020952,0.25,0
4,Asymmetric Ridge,0.1,0.5,Spherical,1304,100.0,GS_experiment_datasets/0004_Asymmetric_Ridge_rr0.1_vr0.5_fr0.5_Spherical,0.5095697713289085,0.5,0
5,Asymmetric Ridge,0.1,0.5,Spherical,1305,100.0,GS_experiment_datasets/0005_Asymmetric_Ridge_rr0.1_vr0.5_fr1_Spherical,0.5002921250295127,1.0,0
6,Asymmetric Ridge,0.1,0.6,Spherical,1306,100.0,GS_experiment_datasets/0006_Asymmetric_Ridge_rr0.1_vr0.6_fr0.25_Spherical,0.6016598063125363,0.25,0
7,Asymmetric Ridge,0.1,0.6,Spherical,1307,100.0,GS_experiment_datasets/0007_Asymmetric_Ridge_rr0.1_vr0.6_fr0.5_Spherical,0.6031349694811193,0.5,0
8,Asymmetric Ridge,0.1,0.6,Spherical,1308,100.0,GS_experiment_datasets/0008_Asymmetric_Ridge_rr0.1_vr0.6_fr1_Spherical,0.6017565226440357,1.0,0
9,Asymmetric Ridge,0.1,0.7,Spherical,1309,100.0,GS_experiment_datasets/0009_Asymmetric_Ridge_rr0.1_vr0.7_fr0.25_Spherical,0.7034320170498299,0.25,0
10,Asymmetric Ridge,0.1,0.7,Spherical,1310,100.0,GS_experiment_datasets/0010_Asymmetric_Ridge_rr0.1_vr0.7_fr0.5_Spherical,0.7014901429899612,0.5,0
11,Asymmetric Ridge,0.1,0.7,Spherical,1311,100.0,GS_experiment_datasets/0011_Asymmetric_Ridge_rr0.1_vr0.7_fr1_Spherical,0.7002435859514369,1.0,0
12,Asymmetric Ridge,0.15,0.4,Spherical,1312,150.0,GS_experiment_datasets/0012_Asymmetric_Ridge_rr0.15_vr0.4_fr0.25_Spherical,0.4077294364636726,0.25,0
13,Asymmetric Ridge,0.15,0.4,Spherical,1313,150.0,GS_experiment_datasets/0013_Asymmetric_Ridge_rr0.15_vr0.4_fr0.5_Spherical,0.40011476124460493,0.5,0
14,Asymmetric Ridge,0.15,0.4,Spherical,1314,150.0,GS_experiment_datasets/0014_Asymmetric_Ridge_rr0.15_vr0.4_fr1_Spherical,0.4023860387868803,1.0,0
15,Asymmetric Ridge,0.15,0.5,Spherical,1315,150.0,GS_experiment_datasets/0015_Asymmetric_Ridge_rr0.15_vr0.5_fr0.25_Spherical,0.5042685095215091,0.25,0
16,Asymmetric Ridge,0.15,0.5,Spherical,1316,150.0,GS_experiment_datasets/0016_Asymmetric_Ridge_rr0.15_vr0.5_fr0.5_Spherical,0.5004608800978326,0.5,0
17,Asymmetric Ridge,0.15,0.5,Spherical,1317,150.0,GS_experiment_datasets/0017_Asymmetric_Ridge_rr0.15_vr0.5_fr1_Spherical,0.500023126374691,1.0,0
18,Asymmetric Ridge,0.15,0.6,Spherical,1318,150.0,GS_experiment_datasets/0018_Asymmetric_Ridge_rr0.15_vr0.6_fr0.25_Spherical,0.6000362165400114,0.25,0
19,Asymmetric Ridge,0.15,0.6,Spherical,1319,150.0,GS_experiment_datasets/0019_Asymmetric_Ridge_rr0.15_vr0.6_fr0.5_Spherical,0.6011656806212453,0.5,0
20,Asymmetric Ridge,0.15,0.6,Spherical,1320,150.0,GS_experiment_datasets/0020_Asymmetric_Ridge_rr0.15_vr0.6_fr1_Spherical,0.604585118912355,1.0,0
21,Asymmetric Ridge,0.15,0.7,Spherical,1321,150.0,GS_experiment_datasets/0021_Asymmetric_Ridge_rr0.15_vr0.7_fr0.25_Spherical,0.704216528690952,0.25,0
22,Asymmetric Ridge,0.15,0.7,Spherical,1322,150.0,GS_experiment_datasets/0022_Asymmetric_Ridge_rr0.15_vr0.7_fr0.5_Spherical,0.7070860644651251,0.5,0
23,Asymmetric Ridge,0.15,0.7,Spherical,1323,150.0,GS_experiment_datasets/0023_Asymmetric_Ridge_rr0.15_vr0.7_fr1_Spherical,0.7000271945518872,1.0,0
24,Asymmetric Ridge,0.2,0.4,Spherical,1324,200.0,GS_experiment_datasets/0024_Asymmetric_Ridge_rr0.2_vr0.4_fr0.25_Spherical,0.4013126766114043,0.25,0
25,Asymmetric Ridge,0.2,0.4,Spherical,1325,200.0,GS_experiment_datasets/0025_Asymmetric_Ridge_rr0.2_vr0.4_fr0.5_Spherical,0.40167533604827804,0.5,0
26,Asymmetric Ridge,0.2,0.4,Spherical,1326,200.0,GS_experiment_datasets/0026_Asymmetric_Ridge_rr0.2_vr0.4_fr1_Spherical,0.404426583187558,1.0,0
27,Asymmetric Ridge,0.2,0.5,Spherical,1327,200.0,GS_experiment_datasets/0027_Asymmetric_Ridge_rr0.2_vr0.5_fr0.25_Spherical,0.505586553836688,0.25,0
28,Asymmetric Ridge,0.2,0.5,Spherical,1328,200.0,GS_experiment_datasets/0028_Asymmetric_Ridge_rr0.2_vr0.5_fr0.5_Spherical,0.5002793201105178,0.5,0
29,Asymmetric Ridge,0.2,0.5,Spherical,1329,200.0,GS_experiment_datasets/0029_Asymmetric_Ridge_rr0.2_vr0.5_fr1_Spherical,0.5025348577815784,1.0,0
30,Asymmetric Ridge,0.2,0.6,Spherical,1330,200.0,GS_experiment_datasets/0030_Asymmetric_Ridge_rr0.2_vr0.6_fr0.25_Spherical,0.6363714194577635,0.25,0
31,Asymmetric Ridge,0.2,0.6,Spherical,1331,200.0,GS_experiment_datasets/0031_Asymmetric_Ridge_rr0.2_vr0.6_fr0.5_Spherical,0.6042698393416079,0.5,0
32,Asymmetric Ridge,0.2,0.6,Spherical,1332,200.0,GS_experiment_datasets/0032_Asymmetric_Ridge_rr0.2_vr0.6_fr1_Spherical,0.6132231456646617,1.0,0
33,Asymmetric Ridge,0.2,0.7,Spherical,1333,200.0,GS_experiment_datasets/0033_Asymmetric_Ridge_rr0.2_vr0.7_fr0.25_Spherical,0.7009224109766378,0.25,0
34,Asymmetric Ridge,0.2,0.7,Spherical,1334,200.0,GS_experiment_datasets/0034_Asymmetric_Ridge_rr0.2_vr0.7_fr0.5_Spherical,0.7001885092673079,0.5,0
35,Asymmetric Ridge,0.2,0.7,Spherical,1335,200.0,GS_experiment_datasets/0035_Asymmetric_Ridge_rr0.2_vr0.7_fr1_Spherical,0.703730566877836,1.0,0
36,Channel Trend,0.1,0.4,Spherical,1336,100.0,GS_experiment_datasets/0036_Channel_Trend_rr0.1_vr0.4_fr0.25_Spherical,0.400118063226491,0.25,0
37,Channel Trend,0.1,0.4,Spherical,1337,100.0,GS_experiment_datasets/0037_Channel_Trend_rr0.1_vr0.4_fr0.5_Spherical,0.40001325631797263,0.5,0
38,Channel Trend,0.1,0.4,Spherical,1338,100.0,GS_experiment_datasets/0038_Channel_Trend_rr0.1_vr0.4_fr1_Spherical,0.4002954772320214,1.0,0
39,Channel Trend,0.1,0.5,Spherical,1339,100.0,GS_experiment_datasets/0039_Channel_Trend_rr0.1_vr0.5_fr0.25_Spherical,0.5031106216663378,0.25,0
40,Channel Trend,0.1,0.5,Spherical,1340,100.0,GS_experiment_datasets/0040_Channel_Trend_rr0.1_vr0.5_fr0.5_Spherical,0.5000011267198967,0.5,0
41,Channel Trend,0.1,0.5,Spherical,1341,100.0,GS_experiment_datasets/0041_Channel_Trend_rr0.1_vr0.5_fr1_Spherical,0.5047106633508197,1.0,0
42,Channel Trend,0.1,0.6,Spherical,1342,100.0,GS_experiment_datasets/0042_Channel_Trend_rr0.1_vr0.6_fr0.25_Spherical,0.6041395530510153,0.25,0
43,Channel Trend,0.1,0.6,Spherical,1343,100.0,GS_experiment_datasets/0043_Channel_Trend_rr0.1_vr0.6_fr0.5_Spherical,0.6017551443432194,0.5,0
44,Channel Trend,0.1,0.6,Spherical,1344,100.0,GS_experiment_datasets/0044_Channel_Trend_rr0.1_vr0.6_fr1_Spherical,0.6008567906827245,1.0,0
45,Channel Trend,0.1,0.7,Spherical,1345,100.0,GS_experiment_datasets/0045_Channel_Trend_rr0.1_vr0.7_fr0.25_Spherical,0.700462942603218,0.25,0
46,Channel Trend,0.1,0.7,Spherical,1346,100.0,GS_experiment_datasets/0046_Channel_Trend_rr0.1_vr0.7_fr0.5_Spherical,0.7005435365078855,0.5,0
47,Channel Trend,0.1,0.7,Spherical,1347,100.0,GS_experiment_datasets/0047_Channel_Trend_rr0.1_vr0.7_fr1_Spherical,0.7027651743663239,1.0,0
48,Channel Trend,0.15,0.4,Spherical,1348,150.0,GS_experiment_datasets/0048_Channel_Trend_rr0.15_vr0.4_fr0.25_Spherical,0.4000230553467295,0.25,0
49,Channel Trend,0.15,0.4,Spherical,1349,150.0,GS_experiment_datasets/0049_Channel_Trend_rr0.15_vr0.4_fr0.5_Spherical,0.40114129327185793,0.5,0
50,Channel Trend,0.15,0.4,Spherical,1350,150.0,GS_experiment_datasets/0050_Channel_Trend_rr0.15_vr0.4_fr1_Spherical,0.4032332107975211,1.0,0
51,Channel Trend,0.15,0.5,Spherical,1351,150.0,GS_experiment_datasets/0051_Channel_Trend_rr0.15_vr0.5_fr0.25_Spherical,0.5000645580206271,0.25,0
52,Channel Trend,0.15,0.5,Spherical,1352,150.0,GS_experiment_datasets/0052_Channel_Trend_rr0.15_vr0.5_fr0.5_Spherical,0.5083967056695412,0.5,0
53,Channel Trend,0.15,0.5,Spherical,1353,150.0,GS_experiment_datasets/0053_Channel_Trend_rr0.15_vr0.5_fr1_Spherical,0.5009553744365485,1.0,0
54,Channel Trend,0.15,0.6,Spherical,1354,150.0,GS_experiment_datasets/0054_Channel_Trend_rr0.15_vr0.6_fr0.25_Spherical,0.6026993389614719,0.25,0
